no,type,date,Value,inc3per,dec3per,incsub,decsub
1,ts_mean,4562,61.33062718,76.66328398,91.99594077,15.33,30.67
2,ts_mean,4744,54.77623083,68.47028854,82.16434625,13.69,27.39
3,ts_mean,4850,30.93317086,38.66646358,46.39975629,7.73,15.47
4,ts_mean,5112,62.93498901,78.66873626,94.40248352,15.73,31.47
5,ts_mean,5292,65.58294924,81.97868655,98.37442386,16.4,32.79
6,ts_mean,5474,60.22636238,75.28295298,90.33954357,15.06,30.11
7,ts_mean,5658,31.25227545,39.06534431,46.87841318,7.81,15.63
8,ts_mean,5842,43.97850373,54.97312966,65.9677556,10.99,21.99
9,ts_mean,6024,52.00304847,65.00381059,78.00457271,13,26
10,ts_mean,6206,48.63187948,60.78984935,72.94781922,12.16,24.32
11,ts_mean,6390,29.55777635,36.94722044,44.33666453,7.39,14.78
12,ts_mean,6574,42.38604309,52.98255386,63.57906464,10.6,21.19
13,ts_mean,6754,57.76814844,72.21018555,86.65222266,14.44,28.88
14,ts_mean,6936,51.26476348,64.08095435,76.89714522,12.82,25.63
15,ts_mean,7120,34.98855679,43.73569599,52.48283519,8.75,17.49
16,ts_mean,7304,42.52357484,53.15446855,63.78536226,10.63,21.26
17,ts_mean,7484,59.49817015,74.37271269,89.24725523,14.87,29.75
18,ts_mean,7666,54.03533681,67.54417101,81.05300522,13.51,27.02
19,ts_mean,7850,32.05256108,40.06570135,48.07884162,8.01,16.03
20,ts_mean,8034,40.43541311,50.54426639,60.65311967,10.11,20.22
21,ts_mean,8214,69.4913031,86.86412888,104.2369547,17.37,34.75
22,ts_mean,8396,42.56977743,53.21222179,63.85466615,10.64,21.28
23,ts_mean,8580,30.45644982,38.07056228,45.68467473,7.61,15.23
24,ts_mean,8764,41.37195505,51.71494381,62.05793258,10.34,20.69
1,ts_ma,4562,61.40594688,76.7574336,92.10892032,15.35,30.7
2,ts_ma,4744,54.82065018,68.52581273,82.23097527,13.71,27.41
3,ts_ma,4850,30.74349325,38.42936656,46.11523988,7.69,15.37
4,ts_ma,5112,62.94084598,78.67605748,94.41126897,15.74,31.47
5,ts_ma,5292,65.76345546,82.20431933,98.64518319,16.44,32.88
6,ts_ma,5474,60.31348077,75.39185096,90.47022116,15.08,30.16
7,ts_ma,5658,30.89969627,38.62462034,46.34954441,7.72,15.45
8,ts_ma,5842,44.02269486,55.02836858,66.03404229,11.01,22.01
9,ts_ma,6024,53.57790753,66.97238441,80.3668613,13.39,26.79
10,ts_ma,6206,48.62764981,60.78456226,72.94147472,12.16,24.31
11,ts_ma,6390,29.13659834,36.42074793,43.70489751,7.28,14.57
12,ts_ma,6574,41.027495,51.28436875,61.5412425,10.26,20.51
13,ts_ma,6754,57.86647125,72.33308906,86.79970688,14.47,28.93
14,ts_ma,6936,51.2706906,64.08836325,76.9060359,12.82,25.64
15,ts_ma,7120,34.69904031,43.37380039,52.04856047,8.67,17.35
16,ts_ma,7304,42.51380295,53.14225369,63.77070443,10.63,21.26
17,ts_ma,7484,59.67015572,74.58769465,89.50523358,14.92,29.84
18,ts_ma,7666,54.05780619,67.57225774,81.08670929,13.51,27.03
19,ts_ma,7850,31.97907609,39.97384511,47.96861414,7.99,15.99
20,ts_ma,8034,40.40235507,50.50294384,60.60353261,10.1,20.2
21,ts_ma,8214,69.80321603,87.25402004,104.704824,17.45,34.9
22,ts_ma,8396,42.6067013,53.25837663,63.91005195,10.65,21.3
23,ts_ma,8580,30.19749306,37.74686633,45.29623959,7.55,15.1
24,ts_ma,8764,41.12423135,51.40528919,61.68634703,10.28,20.56
1,ts_int,4562,61.34652778,76.68315973,92.01979167,15.34,30.67
2,ts_int,4744,54.86858974,68.58573718,82.30288461,13.72,27.43
3,ts_int,4850,30.71761775,38.39702219,46.07642663,7.68,15.36
4,ts_int,5112,62.92708333,78.65885416,94.390625,15.73,31.46
5,ts_int,5292,65.80949074,82.26186343,98.71423611,16.45,32.9
6,ts_int,5474,60.34386447,75.42983059,90.51579671,15.09,30.17
7,ts_int,5658,30.83582428,38.54478035,46.25373642,7.71,15.42
8,ts_int,5842,44.04913949,55.06142436,66.07370924,11.01,22.02
9,ts_int,6024,53.3264652,66.6580815,79.9896978,13.33,26.66
10,ts_int,6206,48.62454212,60.78067765,72.93681318,12.16,24.31
11,ts_int,6390,29.1415308,36.4269135,43.7122962,7.29,14.57
12,ts_int,6574,40.93115942,51.16394928,61.39673913,10.23,20.47
13,ts_int,6754,57.86111111,72.32638889,86.79166667,14.47,28.93
14,ts_int,6936,51.30013736,64.1251717,76.95020604,12.83,25.65
15,ts_int,7120,34.62432065,43.28040081,51.93648098,8.66,17.31
16,ts_int,7304,42.51924819,53.14906024,63.77887229,10.63,21.26
17,ts_int,7484,59.42175926,74.27719908,89.13263889,14.86,29.71
18,ts_int,7666,54.02930403,67.53663004,81.04395605,13.51,27.01
19,ts_int,7850,31.97237319,39.96546649,47.95855979,7.99,15.99
20,ts_int,8034,40.38903986,50.48629983,60.58355979,10.1,20.19
21,ts_int,8214,70.0162037,87.52025463,105.0243056,17.5,35.01
22,ts_int,8396,42.54212454,53.17765568,63.81318681,10.64,21.27
23,ts_int,8580,30.17980072,37.7247509,45.26970108,7.54,15.09
24,ts_int,8764,41.04913949,51.31142436,61.57370924,10.26,20.52
1,ts_kal,4562,61.34293668,61.34293668,61.34293668,0,0
2,ts_kal,4744,54.78365937,56.42716915,53.18801881,1.643509781,-1.595640564
3,ts_kal,4850,30.87917349,32.75971516,29.10658261,1.880541666,-1.772590881
4,ts_kal,5112,62.95863117,68.79659616,57.6160662,5.837964993,-5.34256497
5,ts_kal,5292,65.76736725,74.02175125,58.43345398,8.254384,-7.333913273
6,ts_kal,5474,60.26472526,69.86333359,51.9848814,9.598608329,-8.279843862
7,ts_kal,5658,31.08559604,37.11782734,26.03369729,6.032231301,-5.051898747
8,ts_kal,5842,43.98062912,54.09062634,35.7602762,10.10999722,-8.220352919
9,ts_kal,6024,52.57044232,66.5946635,41.49959262,14.02422118,-11.0708497
10,ts_kal,6206,48.6323838,63.45423025,37.27267268,14.82184645,-11.35971112
11,ts_kal,6390,29.30619797,39.38507947,21.80656358,10.0788815,-7.499634392
12,ts_kal,6574,41.60810224,57.59534442,30.05857834,15.98724218,-11.5495239
13,ts_kal,6754,57.79194228,82.39749088,40.53410555,24.6055486,-17.25783673
14,ts_kal,6936,51.25077072,75.26348464,34.899281,24.01271392,-16.35148972
15,ts_kal,7120,34.83772541,52.69518549,23.03184058,17.85746008,-11.80588483
16,ts_kal,7304,42.52054679,66.24562643,27.29232097,23.72507964,-15.22822582
17,ts_kal,7484,59.57756175,95.60449697,37.1267668,36.02693522,-22.45079495
18,ts_kal,7666,54.05391997,89.34289364,32.70351054,35.28897367,-21.35040943
19,ts_kal,7850,32.01020258,54.49522717,18.80262038,22.48502459,-13.2075822
20,ts_kal,8034,40.41903114,70.87501576,23.05040868,30.45598462,-17.36862246
21,ts_kal,8214,69.5852694,125.6787368,38.52767652,56.09346743,-31.05759288
22,ts_kal,8396,42.60719827,79.26193966,22.90346858,36.65474139,-19.70372969
23,ts_kal,8580,30.32049077,58.09719572,15.82403676,27.77670495,-14.49645401
24,ts_kal,8764,41.20880568,81.32914303,20.8801618,40.12033735,-20.32864388
